"Timestamp","Studio Art (x1) - Demand (kW)","PV Inverter (x0) - Demand (kW)","Chiller (x0) - Demand (kW)","MDB - AHU (x0) - Demand (kW)","LDB (x0) - Demand (kW)","H1 (x0) - Demand (kW)","LDB (x0) - Temperature (F)","Chiller (x0) - Temperature (F)","H1 (x0) - Temperature (F)","MDB - AHU (x0) - Temperature (F)","PV Inverter (x0) - Temperature (F)","Studio Art (x1) - Temperature (F)"
"2017-04-16 15:53:00",,,,,,,80,80,80,80,80,80
"2017-04-16 16:53:00",,,,,,,78,78,78,78,78,78
"2017-04-16 17:53:00",,,,,,,74,74,74,74,74,74
"2017-04-16 18:53:00",,,,,,,70,70,70,70,70,70
"2017-04-16 19:53:00",,,,,,,66,66,66,66,66,66
"2017-04-16 20:53:00",,,,,,,63,63,63,63,63,63
"2017-04-16 21:53:00",,,,,,,60,60,60,60,60,60
"2017-04-16 22:53:00",,,,,,,60,60,60,60,60,60
"2017-04-16 23:53:00",,,,,,,58,58,58,58,58,58
"2017-04-17 00:53:00",,,,,,,56,56,56,56,56,56
"2017-04-17 01:53:00",,,,,,,56,56,56,56,56,56
"2017-04-17 02:53:00",,,,,,,55,55,55,55,55,55
"2017-04-17 03:53:00",,,,,,,54,54,54,54,54,54
"2017-04-17 04:53:00",,,,,,,54,54,54,54,54,54
"2017-04-17 05:53:00",,,,,,,54,54,54,54,54,54
"2017-04-17 06:53:00",,,,,,,54,54,54,54,54,54
"2017-04-17 07:53:00",,,,,,,58,58,58,58,58,58
"2017-04-17 08:53:00",,,,,,,62,62,62,62,62,62
"2017-04-17 09:53:00",,,,,,,66,66,66,66,66,66
"2017-04-17 10:53:00",,,,,,,69,69,69,69,69,69
"2017-04-17 11:53:00",,,,,,,73,73,73,73,73,73
"2017-04-17 12:53:00",,,,,,,75,75,75,75,75,75
"2017-04-17 13:53:00",,,,,,,77,77,77,77,77,77
"2017-04-17 14:53:00",,,,,,,77,77,77,77,77,77
"2017-04-17 15:53:00",,,,,,,78,78,78,78,78,78
"2017-04-17 16:53:00",,,,,,,76,76,76,76,76,76
"2017-04-17 17:53:00",,,,,,,73,73,73,73,73,73
"2017-04-17 18:53:00",,,,,,,71,71,71,71,71,71
"2017-04-17 19:53:00",,,,,,,67,67,67,67,67,67
"2017-04-17 20:53:00",,,,,,,64,64,64,64,64,64
"2017-04-17 21:53:00",,,,,,,62,62,62,62,62,62
"2017-04-17 22:53:00",,,,,,,62,62,62,62,62,62
"2017-04-17 23:53:00",,,,,,,61,61,61,61,61,61
"2017-04-18 00:53:00",,,,,,,61,61,61,61,61,61
"2017-04-18 01:53:00",,,,,,,61,61,61,61,61,61
